"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 17 09:30:56 IST 2021","Thu Jun 17 09:31:03 IST 2021","7187",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder legal in expert application","Verify the placeOrder legal in expert application",""
"passed","Thu Jun 17 09:31:28 IST 2021","Thu Jun 17 09:31:33 IST 2021","5222",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder life in expert application","Verify the placeOrder life in expert application",""
"passed","Thu Jun 17 09:27:47 IST 2021","Thu Jun 17 09:28:29 IST 2021","42058","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Create Carrier using mandatory fields","Create Carrier using mandatory fields",""
"passed","Thu Jun 17 09:30:08 IST 2021","Thu Jun 17 09:30:18 IST 2021","9735","","Admin user E2E validation ","","Admin user E2E validation ","Verify the ordering office in expert application","Verify the ordering office in expert application",""
"passed","Thu Jun 17 09:29:15 IST 2021","Thu Jun 17 09:29:35 IST 2021","20118","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LIFE","Verify and search the pending place order for LIFE",""
"passed","Thu Jun 17 09:31:03 IST 2021","Thu Jun 17 09:31:28 IST 2021","24483",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LIFE","Verify the place order for LIFE",""
"passed","Thu Jun 17 09:29:40 IST 2021","Thu Jun 17 09:30:08 IST 2021","27895","","Admin user E2E validation ","","Admin user E2E validation ","Validate the Admin Profile section","Validate the Admin Profile section",""
"passed","Thu Jun 17 09:28:29 IST 2021","Thu Jun 17 09:28:40 IST 2021","11145","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Validate the new created carrier details are available in eXpert","Validate the new created carrier details are available in eXpert",""
"passed","Thu Jun 17 09:28:45 IST 2021","Thu Jun 17 09:29:15 IST 2021","29281","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LEGAL","Verify and search the pending place order for LEGAL",""
"passed","Thu Jun 17 09:30:23 IST 2021","Thu Jun 17 09:30:56 IST 2021","33095",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LEGAL","Verify the place order for LEGAL",""
